URL,URL Length,Dot Count,Hyphen Count,Uses HTTPS,Domain Length,Path Length,Query Length,Domain Age (days),Label
http://dbs.vote-friend.com/sg?ref=anything,42,2,1,0,19,3,12,,1
https://www.reynoldstransfer.com/versa-lift-fork-truck/,55,2,3,1,24,23,0,,0
https://www.halisupportservice.com/Login.php,44,3,0,1,26,10,0,,1
https://www.signets.com.br/wp-includes/wlwmanifest.xml,54,4,1,1,18,28,0,,0
https://docs.google.com/document/d/e/2PACX-1vTS9czxqyCsGi-QUifs7m1MqJZMLCjLcCNhW3DsaHdss5ymnPy6y0VSGwvF3pIu6js22Ydjyew1OyO_/pub?embedded=true,141,2,2,1,15,104,13,,1
https://www.iwestco.com/virtual-consult/,40,2,1,1,15,17,0,,0
https://is.gd/N19JOz,20,1,0,1,5,7,0,,1
https://httpsservices.runescape.com-ov.ru/,42,3,1,1,33,1,0,,1
https://viandjo.com/website/membership/service/billing.php?SessionID-xb=NL.=.3754672._.4d1d7fa8d72fb5318fdf3baed95a10e7.=.Netherlands,133,8,1,1,11,39,74,,1
https://www.millect.com/Plans/tabid/76/Default.aspx,51,3,0,1,15,28,0,,0
https://www.sttas.com/,22,2,0,1,13,1,0,,0
https://facebookcase1477777.web.app/appeal.html,47,3,0,1,27,12,0,,1
https://www.cytranet.com/category/blog/index.html,49,3,0,1,16,25,0,,0
https://oximedica.com/wp-includes/imgs/att.php,46,2,1,1,13,25,0,,1
http://myetherwallets.kr/wallet,31,1,0,0,17,7,0,,1
https://pervouralsk.interra.ru/,31,2,0,1,22,1,0,,0
https://06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com/,82,4,2,1,73,1,0,,1
https://www.bright-group.ru/team/,33,2,1,1,19,6,0,,0
http://secure285.inmotionhosting.com/~opendo31/monescpace/lcl/request.html,74,3,0,0,29,38,0,,1
https://www.copyright.com/,26,2,0,1,17,1,0,,0
https://www.inner-calm.co.uk/,29,3,1,1,20,1,0,,0
https://linktr.ee/Midasbuyvip,29,1,0,1,9,12,0,,1
http://abbeyroadmoron.com/fonts/Covid-19/ali1/ali/login.php,59,2,1,0,18,34,0,,1
https://www.organicgourmetbcn.com/,34,2,0,1,25,1,0,,0
https://www.three-f.co.jp/contact/,34,3,1,1,17,9,0,,0
https://www.keramidaslaw.com/auto-insurance-defense-lawyer/,59,2,3,1,20,31,0,,0
https://olx.bolxgift.online,27,2,0,1,19,0,0,,1
https://www.hitachi.com/New/cnews/index.html,44,3,0,1,15,21,0,,0
https://www.epcollab.org/,25,2,0,1,16,1,0,,0
https://www.spokanecounty.org/9/How-Do-I,40,2,2,1,21,11,0,,0
http://jwrmdctbhstpklcdvbfgznhkii-dot-gle39404049.rj.r.appspot.com/,67,4,2,0,59,1,0,,1
https://www.trilife.space/com/images/secure/online/fulls.php,60,3,0,1,17,35,0,,1
https://ezreadtampcraez.com/jp/aol.html?email=jdoe1@emailhost.c,63,3,0,1,19,12,23,,1
https://bit.ly/2R7AugZ,22,1,0,1,6,8,0,,1
https://www.vgsi.com/taxpayer-info/,35,2,1,1,12,15,0,,0
https://www.devastudios.com/work,32,2,0,1,19,5,0,,0
https://www.factoryautomation.com/cpanel,40,2,0,1,25,7,0,,0
https://olx.pl-savedpay.xyz/delivery/351502756,46,2,1,1,19,19,0,,1
http://grandmarketltd.co.uk/wp-includes/inozfoZ/noande/paypal/59c0d7ceb90328d92e80f4e1f3646b99/view/surf2.php,109,3,1,0,20,82,0,,1
https://www.audiblemagic.com/article-17/,40,2,1,1,20,12,0,,0
https://uniswap.walletsconnectors.com/swap.html#/swap,53,3,0,1,29,10,0,,1
https://odumzat.cn/pc/MUFG_pcselectcard.html,44,2,0,1,10,26,0,,1
http://cambodiatraining.com/redirect/,37,1,0,0,20,10,0,,1
https://www.recipient-authorisation-secure.com/Login.php,56,3,2,1,38,10,0,,1
https://www.parksjones.com/educational-videos/,46,2,1,1,18,20,0,,0
https://drive.google.com/file/d/1ik3UxH3RDigwAr7D269WVkoWp17Cci1n/edit,70,2,0,1,16,46,0,,1
http://kinstationery.com/4tr/login.php?ul=_LkeFUq_VJOXRTIPtoGYDw17dsfsfd18&fid.18InboxLight.aspxn.1774256418&fid.1r245964252813InboxLight94552_Product-email&email=nobody@mycraftmail.com,185,7,1,0,17,14,146,,1
https://services.oldschool.com-12.ru/m=forum/forums.ws4877492211802836667223,76,4,1,1,28,40,0,,1
https://www.sjoukedijkstra.nl/infra/straatwerk,46,2,0,1,21,17,0,,0
https://www.therapie-weidenhof.at/de/aktuelles/,47,2,1,1,25,14,0,,0
https://www.isamayy.com/oro/,28,2,0,1,15,5,0,,1
https://www.southerncef.org/html/promotional_materials.html,59,3,0,1,19,32,0,,0
http://ckkfecwxlhzlisryjywxsjdpsp-dot-gle39404049.rj.r.appspot.com/,67,4,2,0,59,1,0,,1
https://www.megamidia.com.br/live-content/,42,3,1,1,20,14,0,,0
https://bit.ly/2TcKWEr,22,1,0,1,6,8,0,,1
https://koshiki-roguinamazn.myvnc.com/L5sMnlT,45,2,1,1,29,8,0,,1
https://cms.tournet.com/Vendor_subscriptions/Subscriptions.html,63,3,0,1,15,40,0,,0
http://banking.sparkasse.de-id1897ajjes9021ucnds2130213454345b0juah104zb1092uhda.xyz/spkk/,90,3,1,0,77,6,0,,1
https://www.vptrend.cz/kategorie_vyplni/020-klasicke/,53,2,1,1,14,31,0,,0
https://gruppovis.it/landing-page/ford-kuga-plug-in-hybrid/,59,1,5,1,12,39,0,,0
https://clouddoc-authorize.firebaseapp.com/...xxx........./......,65,20,1,1,34,23,0,,1
http://demo.bradescocontrol.vertitecnologia.com.br/usuarios/sign_in,67,4,0,0,43,17,0,,1
https://www.jetair.co.uk/aircraft-charter/oil-gas-marine/crew-rotation-charters,79,3,5,1,16,55,0,,0
https://ip-72-167-35-191.ip.secureserver.net/SWISS/b1fcf79f9e74cf0d040b2192800da433/,84,3,4,1,36,40,0,,1
http://vetec-eu.net/bper/proces.php,35,2,1,0,12,16,0,,1
https://switch.com.kw/.kw/,26,3,0,1,13,5,0,,1
https://olx.pl.oferta-payment.works/get/?id=47321339,52,3,1,1,27,5,11,,1
http://ht.ly/dBqF30qSyYt,24,1,0,0,5,12,0,,1
https://whitefordkenworth-my.sharepoint.com/personal/bwalters_lglk_com/_layouts/15/Doc.aspx?sourcedoc={1d96cb1e-0031-41b8-8774-24bb2f7c4caa}&amp;action=default&amp;slrid=9ebb659f-7054-a000-b19b-7cb962889fc8&amp;originalPath=aHR0cHM6Ly93aGl0ZWZvcmRrZW53b3J0aC1teS5zaGFyZXBvaW50LmNvbS86bzovZy9wZXJzb25hbC9id2FsdGVyc19sZ2xrX2NvbS9FaDdMbGgweEFMaEJoM1FrdXk5OFRLb0JPN09POGhoXzd0dFZFcW56WWR1YkNBP3J0aW1lPVN3cWtEVjhuMkVn&amp;cid=2ae6d679-a1b4-4b0f-a76a-46e32d437c42,457,3,13,1,35,48,365,,1
https://www.jillyclark.com/background.html,42,3,0,1,18,16,0,,0
http://email302.com/l/5fc15ea15e66c082e33c48babd5a8ff601a799e6/[email?????????????????????????????????????????????????????????????????protected]tageapp.com/-/www.paypal.com/cgi-bin/,181,4,2,0,12,50,111,,1
http://www.formbuddy.com/cgi-bin/formdisp.pl?u=Twice&amp;f=LLM,62,3,1,0,17,20,17,,1
https://www.portofbrownsville.com/about/harbor-master-office/,61,2,2,1,25,28,0,,0
https://buildingcorp.com.au/wp-admin/ty/,40,2,1,1,19,13,0,,1
https://www.onlineservicefree.club/landingpage/dd263864-38a2-466a-be2f-4e5ec6c5e042/-2TxMqcOA-OhcCJ61bO8_oiYnK4c3EHuOvQ-HFC6T5E,127,2,7,1,26,93,0,,1
https://www.anvitrade.cz/images/fb.svg,38,3,0,1,16,14,0,,0
https://www.cabreraauto.com/new-cadillac-xt6-arecibo-pr,55,2,4,1,19,28,0,,0
http://cooperwalinski.com/2021/01/22/3-types-of-fitness-programs-for-patients-with-severe-lower-limb-arthritis/,111,1,11,0,18,86,0,,0
https://olx.pl-getpost.work/confirmation/payout/650927241,57,2,1,1,19,30,0,,1
https://www.gyropalacemerrick.com/assets/favicon/safari-pinned-tab-c09e97d664f82a07a74ebf57eb221d2d1fbf46a3d53345d334f06825f9349d2f.svg,135,3,3,1,25,102,0,,0
https://signinlogin007.wixsite.com/my-site,42,2,1,1,26,8,0,,1
https://www.airsprung-group.co.uk/,34,3,1,1,25,1,0,,0
https://www.akvalis.com/services/sajtfon/,41,2,0,1,15,18,0,,0
https://info-dati-riepilogo.000webhostapp.com/,46,2,2,1,37,1,0,,1
http://update.amazon.shopppy.xyz/mobile/homepage/,49,3,0,0,25,17,0,,1
https://www.capdrill.com/services/exploration-drilling,54,2,1,1,16,30,0,,0
http://dhi.it/tlajiqfe/ygffbfbq.html?mejlnyzcabb.php?qme2,57,3,0,0,6,23,20,,1
https://www.wcloudus.com/about-white-cloud.html,47,3,2,1,16,23,0,,0
http://timeline-1242785355.surfshop.ma/connect.html,51,3,1,0,31,13,0,,1
https://www.oade.com/Tapers_Section/faq-mic.html,48,3,1,1,12,28,0,,0
https://www.sapphirek12.com/software/learning-management-system/,64,2,2,1,19,37,0,,0
http://globalskillspark.com/put//alldomain/alldomain/index.php?email=a@b.com,76,3,0,0,20,35,13,,1
https://www.philipwilliams.co.uk/Home,37,3,0,1,24,5,0,,0
https://www.msctrustgate.com/IDCenter.php,41,3,0,1,20,13,0,,0
https://www.gamma-service.it/news/,34,2,1,1,20,6,0,,0
https://situs-pemulihan05.webnode.com/,38,2,1,1,29,1,0,,1
https://www.afxindustries.com/,30,2,0,1,21,1,0,,0
https://www.proclinical.com/about-proclinical,45,2,1,1,19,18,0,,0
http://www.psmkreditsyari.com/wp-content/plugins/js_composer/include/templates/shortcodes/web/home/,99,2,1,0,22,70,0,,1
https://www.ilandcloud.com/services/locations/,46,2,0,1,18,20,0,,0
https://www.chardonnay.com/public-charters/champagne-brunch-charter/,68,2,3,1,18,42,0,,0
https://rotanterproclanic.live/wingdoughtmanter/mazon/fdefa,59,1,0,1,22,29,0,,1
https://www.ldd.ca/real-estate,30,2,1,1,10,12,0,,0
https://versementpos.ddns.net/x 00 x/315c0/,43,2,0,1,21,14,0,,1
http://amazon.jp.abaiinsurance.cn/,34,3,0,0,26,1,0,,1
https://loghomesnetwork.com/general/www.breeid.fr-pointcheck.secre.region-departement/d738b/index.php,101,6,2,1,19,74,0,,1
https://www.paragonsports.com/products/radical-mp-graphene-360,62,2,3,1,21,33,0,,0
https://fbtimeline-zs960e8oa.villalarnia.org/connect.html?timelimit=4365890f71b29bf94b7fbba8bf7f9cf2,100,3,1,1,36,13,42,,1
https://www.fux-eg.org/kontakt/,31,2,1,1,14,9,0,,0
https://globert.be/labanqueposale-login-secure/8cc5c/,53,1,2,1,10,35,0,,1
https://gajanandvalves.com/.nabau/nab/login.php?,48,3,0,1,18,21,0,,1
https://olx.pl.reg-bertu.pw/cash92215284,40,3,1,1,19,13,0,,1
https://online.personalbanking.newappaccess-review.link/Login.php,65,4,1,1,47,10,0,,1
https://www.readysetauction.com/policies/privacy-security/,58,2,1,1,23,27,0,,0
https://docsharex-authorize.firebaseapp.com/common,50,2,1,1,35,7,0,,1
https://webmaillapostemail.wixsite.com/my-site,46,2,1,1,30,8,0,,1
https://www.aegisliving.com/services/memory-care/,49,2,1,1,19,22,0,,0
https://lacie_killin.gitlab.io/jnxcjkxnvkjcxvhfbdn-cxrvfd/4588.html,67,3,1,1,22,37,0,,1
https://www.portopia.co.jp/convention/,38,3,0,1,18,12,0,,0
https://www.ciktrb.ru/projects/28/,34,2,0,1,13,13,0,,0
https://yonoauctionmarttz.com/error/,36,1,0,1,21,7,0,,1
http://51jianli.cn/images?http:/us.battle.net/login/en?ref=http:/xyvrmzdus.battle.net/d3/en/index,97,5,0,0,11,7,71,,1
https://rakuten.email-styleup.com/l,35,2,1,1,25,2,0,,1
http://bicicentroslezama.com/EJERCICIO/2050X/myaccount_done.htm,63,2,0,0,21,35,0,,1
https://www.4129.net/higashiyama/menu,37,2,0,1,12,17,0,,0
https://medicaldatamgt.com/services.aspx,40,2,0,1,18,14,0,,0
https://www.alfa.com.mx/RI/presentaciones.htm,45,4,0,1,15,22,0,,0
https://crespeldeitersgroup.com/de/feed/,40,1,0,1,23,9,0,,0
https://solvelarge.com/OneDrive/latest-onedrive/,48,1,1,1,14,26,0,,1
http://marketvit.by/wp-content/languages/cyberstore/webaccess/6cebb2fe1387e91096dedca2dd7625cd/,95,1,1,0,12,76,0,,1
https://www.gmfcapital.com/site/templates/assets/img/icons/manifest.json,72,3,0,1,18,46,0,,0
https://www.pumori.ru/factory/,30,2,0,1,13,9,0,,0
https://www.keybase.com/index.php/contact-us/ask-a-question,59,3,3,1,15,36,0,,0
https://www.dagrofa-logistik.dk/om-os/historie/,47,2,2,1,23,16,0,,0
http://s.alchemer.com/s3/2023-device-protection#richard@legalshield.com,71,3,2,0,14,26,0,,1
https://www.drrich.net/airplay-chart/,37,2,1,1,14,15,0,,0
https://clouddoc-authorize.firebaseapp.com/...xxx.........,58,14,1,1,34,16,0,,1
https://www.kuhnen-wacker.com/,30,2,1,1,21,1,0,,0
https://www.uni-techno.co.jp/activity.html,42,4,1,1,20,14,0,,0
https://www.artvision.com.gr/blog/services/video-gia-xrisi-sto-diadiktuo/,73,3,4,1,20,45,0,,0
http://sumairakhanray.org/fe900,31,1,0,0,18,6,0,,1
https://www.espinozatreeservice.net/contact,43,2,0,1,27,8,0,,0
http://interactive.uk.net/homes/DROPBOX/DROPBOX/dbox (2)/vinc,61,2,0,0,18,36,0,,1
https://www.libra.com.mx/PuntodeVenta,37,3,0,1,16,13,0,,0
http://new.aya1.go.th/pic/message/-/https/Documento-N8121002/cuenta/clients/cc.php?verification,95,4,2,0,14,61,12,,1
https://552204.selcdn.ru/irninsde/iron4iton.html,48,3,0,1,16,24,0,,1
https://www.allinteractive.com.au/facilities/,45,3,0,1,25,12,0,,0
http://clamfreenewold.duckdns.org/,34,2,0,0,26,1,0,,1
https://www.csgm.si/delavci-oe-ze/,34,2,2,1,11,15,0,,0
https://www.gosmallbiz.com/,27,2,0,1,18,1,0,,0
http://ww2.activartusoperacionesenlinea.zonasegurabeta.com.pe.vegam.co,70,6,0,0,63,0,0,,1
https://olx.pl.pay-myitem.pw/unlock20176595,43,3,1,1,20,15,0,,1
https://vodafone.paying-accounts.com/account/index?a=2,54,2,1,1,28,14,3,,1
https://amazonjapanapprove.ml/mobile,36,1,0,1,21,7,0,,1
https://www.sterncassello.com/links.html,40,3,0,1,21,11,0,,0
https://www.datacomsystems.com/solutions-for-manufacturing/,59,2,2,1,22,29,0,,0
https://www.sharestion.com/eur/login?id=aVJjQlJ3c3V1VDRiSFNGL2JqM05paVl6RXJPMEJ1WXpRejk1Q3NBSENUS3ZURnFROEJ3R29ETzA1VmxNbHIwVFFTS0tJK2JXd0JGTFh5ck44Z2pRVHo5Rk1RSysrSnhxaEI4R2JlL3JLL2tMNVhYMXVvQTJ3UjF4ZjU5b2NOWnQ4dVVOdjVSWGJPcEFvdGw5MDFBZmRPeGJUa295eWNYWm5aQzFtTHlPMmFSZmdrVHNyeThibVhMK2JUc0ZyRnFTTlpheENLQkR4OSs3cXNYUjEzUHFuSFc2N0pKUEtRdElzUDZYQ1RkbEJDRHRRNXJPTUU4MVBTMjdPV1NlU0dsdXN3WmhzaTRJVkdpTms1d0I4SVB2c2x6b1l1ZCtBQnB1Y3RXaDhZUnF2YUdXNXhyNEd0QlRsVTRmcHZtdDh0ZzE,467,2,0,1,18,10,430,,1
https://www.cosentinos.com/our-story,36,2,1,1,18,10,0,,0
http://174.138.36.47/banks/ATB/confirm.html,43,4,0,0,13,23,0,,1
https://www.milehichurch.org/watch/,35,2,0,1,20,7,0,,0
https://www.chubu-gu.ac.jp/,27,3,1,1,18,1,0,,0
http://pxonydy.ml/pay/checkout,30,1,0,0,10,13,0,,1
http://coinly.cz/mkbbssl/54b595ca4a68517eb4767adfd6b2fe1f/,58,1,0,0,9,42,0,,1
https://main.d3m1onvz6klva1.amplifyapp.com/index.html#jeffsearson@prepaidlegal.com,82,5,0,1,34,11,0,,1
https://www.neuromics.com/,26,2,0,1,17,1,0,,0
https://res.cloudinary.com/iconcdn/image/upload/q_auto/nordictrack.com/cdn/images/icons/icn_cart.svg,100,4,0,1,18,74,0,,0
https://54-224-205-117.cprapid.com/img/,39,2,3,1,26,5,0,,1
https://www.identigraphix.com/services/variable-data.html,57,3,1,1,21,28,0,,0
https://www.ktng.com/vision,27,2,0,1,12,7,0,,0
https://oliverconstructionmt.com/804c17b7243b6eb72528c87374b8faa3/verify.php?country_x=-&amp;ACCT_x=ID-PPL=PA324191.96.83.244=ScrPg=69a80b02e3fd6e11b47fa1c507ac1c7eb22f1933e618b349961b64843a434df6S=$1$9csuEYD9$5Rg9WZvDyVMDbMZoLevGG0PCwBWHpcXbdm8ozsMR60nrGOe4yFhgqjNkQYxivK3E7T529VDfZLS1aIlAuUtJau6EV1fHBiRFkqwpK3rISztg4oQGl8LDy2Cv0emcxPYAM7UhOZ5bjNndWJ9XsT19000363966,367,5,2,1,24,44,290,,1
https://hm.ru/Buu5Sn,20,1,0,1,5,7,0,,1
https://www.edelman.com/work,28,2,0,1,15,5,0,,0
http://hasmob.com/other/alibaba.com/Login.htm,45,3,0,0,10,28,0,,1
http://hkretailconcepts.net/Ymc5I/office,40,1,0,0,20,13,0,,1
https://www.dumouchelle.com/Contact,35,2,0,1,19,8,0,,0
